,Unnamed: 0.1,Unnamed: 0,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,IMAX,Documentary,War,Musical,Western,Film-Noir,cluster
121981,121981,121982,161,71,143,366,93,98,160,126,62,77,41,27,75,23,6,8,67,25,5,1
125678,125678,125679,18,2,4,25,6,29,69,20,5,29,0,5,13,4,0,11,5,0,0,1
53663,53663,53664,33,10,10,29,11,16,39,28,27,29,0,0,6,7,3,7,6,4,0,4
129988,129988,129989,32,0,6,51,15,24,104,31,56,42,5,26,19,9,0,16,7,1,4,1
92678,92678,92679,37,0,0,50,13,32,92,77,48,68,7,31,56,0,0,17,0,0,4,0
45884,45884,45885,14,7,12,59,14,22,77,30,49,39,4,21,5,13,0,8,7,4,0,4
80502,80502,80503,8,39,7,33,32,14,65,29,28,57,4,24,46,6,4,0,4,0,8,0
77504,77504,77505,4,3,3,46,15,10,27,33,8,115,189,17,21,0,0,8,0,0,0,0
1543,1543,1544,275,60,90,268,149,40,314,332,171,351,253,132,322,102,4,41,11,4,8,2
89293,89293,89294,2,3,4,15,4,8,26,9,13,13,0,0,0,0,0,0,4,0,0,0
150099,150099,150100,27,0,4,19,4,8,47,70,25,5,7,0,25,0,0,18,0,4,0,3
84322,84322,84323,42,2,6,85,15,59,140,37,29,35,33,17,35,2,1,14,14,6,6,0
132119,132119,132120,104,21,31,181,39,62,168,168,102,103,4,24,58,16,4,33,13,12,3,1
145706,145706,145707,529,183,269,534,156,233,634,510,169,314,63,40,324,11,5,56,189,11,5,3
20441,20441,20442,77,0,6,43,8,13,36,104,16,76,15,8,162,0,0,0,0,3,0,2
114033,114033,114034,105,20,18,74,41,14,97,174,88,145,45,58,51,3,4,7,6,17,9,1
91100,91100,91101,189,63,76,444,98,123,219,148,113,104,31,54,107,5,3,40,64,9,9,0
121966,121966,121967,41,13,22,62,8,34,37,40,17,42,5,0,22,5,0,4,12,0,0,1
147183,147183,147184,167,31,26,119,88,72,187,190,95,145,27,54,121,61,0,14,1,4,0,3
48027,48027,48028,41,0,4,27,15,12,25,43,15,37,10,2,12,0,0,0,0,0,0,4
104774,104774,104775,105,25,48,152,63,80,233,103,126,124,7,38,59,42,0,23,15,2,3,1
48963,48963,48964,16,7,11,33,6,39,96,13,29,17,0,4,3,5,0,7,9,4,0,4
151340,151340,151341,83,6,10,37,30,26,108,103,54,36,6,9,48,0,0,13,4,0,4,3
112107,112107,112108,56,0,0,28,0,9,87,83,33,64,0,5,30,14,10,33,0,0,0,1
146763,146763,146764,186,119,69,126,101,69,362,185,111,191,27,81,170,64,9,28,6,5,8,3
69105,69105,69106,203,34,38,312,75,191,271,302,146,233,35,35,147,11,5,29,38,26,7,0
1929,1929,1930,45,7,11,41,10,49,67,84,26,68,4,10,37,9,0,16,7,7,0,2
40625,40625,40626,23,3,7,19,0,8,40,21,22,36,5,4,7,5,0,3,3,4,0,4
100039,100039,100040,58,8,31,101,24,55,98,67,33,66,9,3,29,10,0,21,16,13,0,1
17571,17571,17572,37,10,11,51,6,30,87,50,29,42,4,8,11,0,8,8,4,14,0,2
